표제어,동형어 번호,구분,품사,고유어 여부,원어
가늠,0,부표제어,명사,,
가늠되다,0,단어,동사,고유어,
가늠되다,0,단어,동사,고유어,
가늠하다,0,단어,동사,고유어,
가늠하다,0,단어,동사,고유어,
가능,0,단어,명사,한자어,可能
가능성,0,단어,명사,한자어,可能性
가능성,0,단어,명사,한자어,可能性
가능하다,0,단어,형용사,혼종어,可能하다
가다,1,단어,동사,고유어,
가다,1,단어,동사,고유어,
가다,1,단어,동사,고유어,
가다,1,단어,동사,고유어,
가다,1,단어,동사,고유어,
가다,1,단어,동사,고유어,
가다,1,단어,동사,고유어,
가다,1,단어,동사,고유어,
가다,1,단어,동사,고유어,
가다,1,단어,동사,고유어,
가다,1,단어,동사,고유어,
가다,1,단어,동사,고유어,
가다,1,단어,동사,고유어,
가다,1,단어,동사,고유어,
가다,1,단어,동사,고유어,
가다,1,단어,동사,고유어,
가다,1,단어,동사,고유어,
가다,1,단어,동사,고유어,
가다,1,단어,동사,고유어,
가다,1,단어,동사,고유어,
가다,1,단어,동사,고유어,
가다,1,단어,동사,고유어,
가다,1,단어,동사,고유어,
가다,1,단어,동사,고유어,
가다,1,단어,동사,고유어,
가다,1,단어,동사,고유어,
가다,1,단어,동사,고유어,
가다,1,단어,동사,고유어,
가다,1,단어,동사,고유어,
가다,1,단어,동사,고유어,
가다,1,단어,동사,고유어,
가다,1,단어,동사,고유어,
가다,1,단어,동사,고유어,
가다,1,부표제어,동사,,
가다,1,부표제어,동사,,
가다,1,부표제어,동사,,
가다,1,부표제어,동사,,
가다,1,부표제어,동사,,
가다,1,부표제어,동사,,
가다,1,부표제어,동사,,
가다,1,부표제어,동사,,
가다,1,부표제어,동사,,
가다,2,단어,보조 동사,고유어,
가다,2,단어,보조 동사,고유어,
가다가,0,단어,부사,고유어,
가다듬다,0,단어,동사,고유어,
가다듬다,0,단어,동사,고유어,
가다듬다,0,단어,동사,고유어,
가다듬다,0,단어,동사,고유어,
가닥,0,단어,명사,고유어,
가닥,0,단어,명사,고유어,
가닥,0,단어,명사,고유어,
가닥,0,부표제어,명사,,
가닥,0,부표제어,명사,,
가닥가닥,1,단어,명사,고유어,
가닥가닥,2,단어,부사,고유어,
가담,0,단어,명사,한자어,加擔
가담하다,0,단어,동사,혼종어,加擔하다
가당찮다,0,단어,형용사,혼종어,可當찮다
가당하다,0,단어,형용사,혼종어,可當하다
가당하다,0,단어,형용사,혼종어,可當하다
가도,0,단어,명사,한자어,街道
가도,0,단어,명사,한자어,街道
가도,0,단어,명사,한자어,街道
가독성,0,단어,명사,한자어,可讀性
가동,0,단어,명사,한자어,稼動
가동,0,단어,명사,한자어,稼動
가동되다,0,단어,동사,혼종어,稼動되다
가동되다,0,단어,동사,혼종어,稼動되다
가동성,0,단어,명사,한자어,可動性
가동하다,0,단어,동사,혼종어,稼動하다
가동하다,0,단어,동사,혼종어,稼動하다
가두,0,단어,명사,한자어,街頭
가두다,0,단어,동사,고유어,
가두다,0,단어,동사,고유어,
가드,0,단어,명사,외래어,guard
가드,0,단어,명사,외래어,guard
가드레일,0,단어,명사,외래어,guard-rail
가득,0,단어,부사,고유어,
가득,0,단어,부사,고유어,
가득,0,단어,부사,고유어,
가득,0,단어,부사,고유어,
가득가득,0,단어,부사,고유어,
가득가득,0,단어,부사,고유어,
가득가득,0,단어,부사,고유어,
가득가득,0,단어,부사,고유어,
가득하다,0,단어,형용사,고유어,
가득하다,0,단어,형용사,고유어,
가득하다,0,단어,형용사,고유어,
가득하다,0,단어,형용사,고유어,
가득히,0,단어,부사,고유어,
가득히,0,단어,부사,고유어,
가득히,0,단어,부사,고유어,
가득히,0,단어,부사,고유어,
가뜩,0,단어,부사,고유어,
가뜩이나,0,단어,부사,고유어,
가뜬하다,0,단어,형용사,고유어,
가뜬하다,0,단어,형용사,고유어,
가뜬히,0,단어,부사,고유어,
가뜬히,0,단어,부사,고유어,
가라앉다,0,단어,동사,고유어,
가라앉다,0,단어,동사,고유어,
가라앉다,0,단어,동사,고유어,
가라앉다,0,단어,동사,고유어,
가라앉다,0,단어,동사,고유어,
가라앉다,0,단어,동사,고유어,
가라앉히다,0,단어,동사,고유어,
가라앉히다,0,단어,동사,고유어,
가라앉히다,0,단어,동사,고유어,
가라앉히다,0,단어,동사,고유어,
가라오케,0,단어,명사,혼종어,karaoke
가라오케,0,단어,명사,혼종어,karaoke
가락,1,단어,명사,고유어,
가락,1,단어,명사,고유어,
가락,1,단어,명사,고유어,
가락,2,단어,명사,고유어,
가락,2,단어,명사,고유어,
가락,2,단어,명사,고유어,
가락국수,0,단어,명사,고유어,
가락엿,0,단어,명사,고유어,
가락지,0,단어,명사,고유어,
가랑비,0,단어,명사,고유어,
가랑비,0,부표제어,명사,,
가랑이,0,단어,명사,고유어,
가랑이,0,단어,명사,고유어,
가랑이,0,부표제어,명사,,
가랑이,0,부표제어,명사,,
가랑잎,0,단어,명사,고유어,
가랑잎,0,부표제어,명사,,
가랑잎,0,부표제어,명사,,
가래,1,단어,명사,고유어,
가래,1,단어,명사,고유어,
가래,2,단어,명사,고유어,
가래떡,0,단어,명사,고유어,
가래질,0,단어,명사,고유어,
가래침,0,단어,명사,고유어,
가량,0,단어,명사,한자어,假量
#NAME?,0,단어,접사,한자어,假量
가려-,0,단어,품사 없음,고유어,
가려내다,0,단어,동사,고유어,
가려내다,0,단어,동사,고유어,
가려우-,0,단어,품사 없음,고유어,
가려움증,0,단어,명사,혼종어,가려움症
가려워-,0,단어,품사 없음,고유어,
가려져-,0,단어,품사 없음,고유어,
가려지-,0,단어,품사 없음,고유어,
가려지다,1,단어,동사,고유어,
가려지다,2,단어,동사,고유어,
가련하다,0,단어,형용사,혼종어,可憐하다
가렵-,0,단어,품사 없음,고유어,
가렵다,0,단어,형용사,고유어,
가렵다,0,부표제어,형용사,,
가령,0,단어,부사,한자어,假令
가령,0,단어,부사,한자어,假令
가로,1,단어,명사,고유어,
가로,2,단어,명사,한자어,街路
가로,3,단어,부사,고유어,
가로놓다,0,단어,동사,고유어,
가로놓이다,0,단어,동사,고유어,
가로놓이다,0,단어,동사,고유어,
가로눕다,0,단어,동사,고유어,
가로눕다,0,단어,동사,고유어,
가로다,0,단어,동사,고유어,
가로대,0,단어,명사,고유어,
가로대,0,단어,명사,고유어,
가로등,0,단어,명사,한자어,街路燈
가로막다,0,단어,동사,고유어,
가로막다,0,단어,동사,고유어,
가로막다,0,단어,동사,고유어,
가로막히다,0,단어,동사,고유어,
가로막히다,0,단어,동사,고유어,
가로막히다,0,단어,동사,고유어,
가로맡다,0,단어,동사,고유어,
가로맡다,0,단어,동사,고유어,
가로무늬,0,단어,명사,고유어,
가로세로,0,단어,명사,고유어,
가로수,0,단어,명사,한자어,街路樹
가로쓰기,0,단어,명사,고유어,
가로젓다,0,단어,동사,고유어,
가로줄,0,단어,명사,고유어,
가로지르다,0,단어,동사,고유어,
가로지르다,0,단어,동사,고유어,
가로지르다,0,단어,동사,고유어,
가로채다,0,단어,동사,고유어,
가로채다,0,단어,동사,고유어,
가로축,0,단어,명사,혼종어,가로軸
가로획,0,단어,명사,혼종어,가로劃
가루,0,단어,명사,고유어,
가루비누,0,단어,명사,고유어,
가루약,0,단어,명사,혼종어,가루藥
가르-,0,단어,품사 없음,고유어,
가르다,0,단어,동사,고유어,
가르다,0,단어,동사,고유어,
가르다,0,단어,동사,고유어,
가르다,0,단어,동사,고유어,
가르마,0,단어,명사,고유어,
가르쳐-,0,단어,품사 없음,고유어,
가르치-,0,단어,품사 없음,고유어,
가르치다,0,단어,동사,고유어,
가르치다,0,단어,동사,고유어,
가르치다,0,단어,동사,고유어,
가르치다,0,단어,동사,고유어,
가르치다,0,단어,동사,고유어,
가르침,0,단어,명사,고유어,
가름,0,단어,명사,고유어,
가름,0,단어,명사,고유어,
가름,0,단어,명사,고유어,
가름하다,0,단어,동사,고유어,
가름하다,0,단어,동사,고유어,
가름하다,0,단어,동사,고유어,
가리-,0,단어,품사 없음,고유어,
가리개,0,단어,명사,고유어,
가리개,0,단어,명사,고유어,
가리다,1,단어,동사,고유어,
가리다,2,단어,동사,고유어,
가리다,2,단어,동사,고유어,
가리다,2,단어,동사,고유어,
가리다,2,단어,동사,고유어,
가리다,2,단어,동사,고유어,
가리다,2,단어,동사,고유어,
가리다,3,단어,동사,고유어,
가리비,0,단어,명사,고유어,
가리켜-,0,단어,품사 없음,고유어,
가리키-,0,단어,품사 없음,고유어,
가리키다,0,단어,동사,고유어,
가리키다,0,단어,동사,고유어,
가리키다,0,단어,동사,고유어,
가리키다,0,단어,동사,고유어,
가마,1,단어,명사,고유어,
가마,2,단어,명사,고유어,
가마,3,단어,명사,고유어,
가마,4,단어,명사,고유어,
가마,4,단어,명사,고유어,
가마,5,단어,명사,고유어,
가마니,0,단어,명사,고유어,
가마니,0,단어,명사,고유어,
가마솥,0,단어,명사,고유어,
가만,1,단어,부사,고유어,
가만,1,단어,부사,고유어,
가만,1,단어,부사,고유어,
가만,2,단어,감탄사,고유어,
가만가만,0,단어,부사,고유어,
가만가만히,0,단어,부사,고유어,
가만두다,0,단어,동사,고유어,
가만있다,0,단어,동사,고유어,
가만있다,0,단어,동사,고유어,
가만있다,0,단어,동사,고유어,
가만히,0,단어,부사,고유어,
가만히,0,단어,부사,고유어,
가만히,0,단어,부사,고유어,
가만히,0,단어,부사,고유어,
가망,0,단어,명사,한자어,可望
가망성,0,단어,명사,한자어,可望性
가맣다,0,단어,형용사,고유어,
가맣다,0,단어,형용사,고유어,
가맣다,0,단어,형용사,고유어,
가맣다,0,단어,형용사,고유어,
가맣다,0,단어,형용사,고유어,
가매장,0,단어,명사,한자어,假埋葬
가맹국,0,단어,명사,한자어,加盟國
가맹점,0,단어,명사,한자어,加盟店
가맹하다,0,단어,동사,혼종어,加盟하다
가면,0,단어,명사,한자어,假面
가면,0,단어,명사,한자어,假面
가면,0,부표제어,명사,,
가면,0,부표제어,명사,,
가면,0,부표제어,명사,,
가면극,0,단어,명사,한자어,假面劇
가명,0,단어,명사,한자어,假名
가묘,0,단어,명사,한자어,假墓
가무,0,단어,명사,한자어,歌舞
가무단,0,단어,명사,한자어,歌舞團
가무댕댕하다,0,단어,형용사,고유어,
가무잡잡하다,0,단어,형용사,고유어,
가무칙칙하다,0,단어,형용사,고유어,
가무퇴퇴하다,0,단어,형용사,고유어,
가문,0,단어,명사,한자어,家門
가물가물,0,단어,부사,고유어,
가물가물,0,단어,부사,고유어,
가물가물,0,단어,부사,고유어,
가물가물하다,1,단어,동사,고유어,
가물가물하다,1,단어,동사,고유어,
가물가물하다,1,단어,동사,고유어,
가물가물하다,2,단어,형용사,고유어,
가물가물하다,2,단어,형용사,고유어,
가물가물하다,2,단어,형용사,고유어,
가물거리다,0,단어,동사,고유어,
가물거리다,0,단어,동사,고유어,
가물거리다,0,단어,동사,고유어,
가물거리다,0,단어,동사,고유어,
가물다,0,단어,동사,고유어,
가물대다,0,단어,동사,고유어,
가물대다,0,단어,동사,고유어,
가물대다,0,단어,동사,고유어,
가물치,0,단어,명사,고유어,
가뭄,0,단어,명사,고유어,
가뭄,0,부표제어,명사,,
가뭇가뭇하다,0,단어,형용사,고유어,
가미,0,단어,명사,한자어,加味
가미,0,단어,명사,한자어,加味
가미되다,0,단어,동사,혼종어,加味되다
가미되다,0,단어,동사,혼종어,加味되다
가미하다,0,단어,동사,혼종어,加味하다
가미하다,0,단어,동사,혼종어,加味하다
가발,0,단어,명사,한자어,假髮
가방,0,단어,명사,고유어,
가법,0,단어,명사,한자어,家法
가벼우-,0,단어,품사 없음,고유어,
가벼워-,0,단어,품사 없음,고유어,
가벼워지다,0,단어,동사,고유어,
가벼이,0,단어,부사,고유어,
가벼이,0,단어,부사,고유어,
가벼이,0,단어,부사,고유어,
가벼이,0,단어,부사,고유어,
가벼이,0,단어,부사,고유어,
가벼이,0,단어,부사,고유어,
가벼이,0,단어,부사,고유어,
가벼이,0,단어,부사,고유어,
가벼이,0,단어,부사,고유어,
가벼이,0,단어,부사,고유어,
가벼이,0,단어,부사,고유어,
가변,0,단어,명사,한자어,可變
가변성,0,단어,명사,한자어,可變性
가변적,1,단어,명사,한자어,可變的
가변적,2,단어,관형사,한자어,可變的
가볍-,0,단어,품사 없음,고유어,
가볍다,0,단어,형용사,고유어,
가볍다,0,단어,형용사,고유어,
가볍다,0,단어,형용사,고유어,
가볍다,0,단어,형용사,고유어,
가볍다,0,단어,형용사,고유어,
가볍다,0,단어,형용사,고유어,
가볍다,0,단어,형용사,고유어,
가볍다,0,단어,형용사,고유어,
가볍다,0,단어,형용사,고유어,
가볍다,0,단어,형용사,고유어,
가볍다,0,단어,형용사,고유어,
가볍다,0,단어,형용사,고유어,
가볍다,0,단어,형용사,고유어,
가볍다,0,단어,형용사,고유어,
가볍다,0,단어,형용사,고유어,
가보,0,단어,명사,한자어,家寶
가봉,0,단어,명사,외래어,Gabon
가부,0,단어,명사,한자어,可否
가부,0,단어,명사,한자어,可否
가부,0,단어,명사,한자어,可否
가부간,0,단어,부사,한자어,可否間
가부장,0,단어,명사,한자어,家父長
가부장적,1,단어,명사,한자어,家父長的
가부장적,2,단어,관형사,한자어,家父長的
가부장제,0,단어,명사,한자어,家父長制
가부장 제도,0,구,품사 없음,한자어,家父長制度
가부좌,0,단어,명사,한자어,跏趺坐
가분수,0,단어,명사,한자어,假分數
가분수,0,단어,명사,한자어,假分數
가불,0,단어,명사,한자어,假拂
가불하다,0,단어,동사,혼종어,假拂하다
가빠지다,0,단어,동사,고유어,
가뿐하다,0,단어,형용사,고유어,
가뿐하다,0,단어,형용사,고유어,
가뿐하다,0,단어,형용사,고유어,
가뿐하다,0,단어,형용사,고유어,
가뿐히,0,단어,부사,고유어,
가뿐히,0,단어,부사,고유어,
가뿐히,0,단어,부사,고유어,
가뿐히,0,단어,부사,고유어,
가쁘다,0,단어,형용사,고유어,
가사,1,단어,명사,한자어,家事
가사,2,단어,명사,한자어,假死
가사,3,단어,명사,한자어,歌詞
가산,1,단어,명사,한자어,加算
가산,1,단어,명사,한자어,加算
가산,2,단어,명사,한자어,家産
가산되다,0,단어,동사,혼종어,加算되다
가산율,0,단어,명사,한자어,加算率
가산점,0,단어,명사,한자어,加算點
가산하다,0,단어,동사,혼종어,加算하다
가상,0,단어,명사,한자어,假想
가상도,0,단어,명사,한자어,假想圖
가상하다,1,단어,동사,혼종어,假想하다
가상하다,2,단어,형용사,혼종어,嘉尙하다
가석방,0,단어,명사,한자어,假釋放
가석방되다,0,단어,동사,혼종어,假釋放되다
가석방하다,0,단어,동사,혼종어,假釋放하다
가설,1,단어,명사,한자어,架設
가설,2,단어,명사,한자어,假設
가설,3,단어,명사,한자어,假說
가설되다,1,단어,동사,혼종어,架設되다
가설되다,2,단어,동사,혼종어,假設되다
가설무대,0,단어,명사,한자어,假設舞臺
가설하다,1,단어,동사,혼종어,架設하다
가설하다,2,단어,동사,혼종어,假設하다
가성,0,단어,명사,한자어,假聲
가성,0,단어,명사,한자어,假聲
가세,1,단어,명사,한자어,加勢
가세,2,단어,명사,한자어,家勢
가세하다,0,단어,동사,혼종어,加勢하다
가소롭다,0,단어,형용사,혼종어,可笑롭다
가속,0,단어,명사,한자어,加速
가속도,0,단어,명사,한자어,加速度
가속되다,0,단어,동사,혼종어,加速되다
가속하다,0,단어,동사,혼종어,加速하다
가속화,0,단어,명사,한자어,加速化
가속화되다,0,단어,동사,혼종어,加速化되다
가속화하다,0,단어,동사,혼종어,加速化하다
가솔린,0,단어,명사,외래어,gasoline
가수,0,단어,명사,한자어,歌手
가스,0,단어,명사,외래어,gas
가스,0,단어,명사,외래어,gas
가스,0,단어,명사,외래어,gas
가스,0,단어,명사,외래어,gas
가스관,0,단어,명사,혼종어,gas管
가스레인지,0,단어,명사,외래어,gas range
가스보일러,0,단어,명사,외래어,gas boiler
가스실,0,단어,명사,혼종어,gas室
가스실,0,단어,명사,혼종어,gas室
가스 요금,0,구,품사 없음,혼종어,gas料金
가스 중독,0,구,품사 없음,혼종어,gas中毒
가스총,0,단어,명사,혼종어,gas銃
가스통,0,단어,명사,혼종어,gas桶
가슬가슬하다,0,단어,형용사,고유어,
가슴,0,단어,명사,고유어,
가슴,0,단어,명사,고유어,
가슴,0,단어,명사,고유어,
가슴,0,단어,명사,고유어,
가슴,0,단어,명사,고유어,
가슴,0,부표제어,명사,,
가슴,0,부표제어,명사,,
가슴,0,부표제어,명사,,
가슴,0,부표제어,명사,,
가슴,0,부표제어,명사,,
가슴,0,부표제어,명사,,
가슴,0,부표제어,명사,,
가슴,0,부표제어,명사,,
가슴,0,부표제어,명사,,
가슴,0,부표제어,명사,,
가슴,0,부표제어,명사,,
가슴,0,부표제어,명사,,
가슴,0,부표제어,명사,,
가슴,0,부표제어,명사,,
가슴,0,부표제어,명사,,
가슴,0,부표제어,명사,,
가슴,0,부표제어,명사,,
가슴,0,부표제어,명사,,
가슴,0,부표제어,명사,,
가슴,0,부표제어,명사,,
가슴,0,부표제어,명사,,
가슴,0,부표제어,명사,,
가슴,0,부표제어,명사,,
가슴,0,부표제어,명사,,
가슴,0,부표제어,명사,,
가슴,0,부표제어,명사,,
가슴,0,부표제어,명사,,
가슴,0,부표제어,명사,,
가슴,0,부표제어,명사,,
가슴,0,부표제어,명사,,
가슴,0,부표제어,명사,,
가슴,0,부표제어,명사,,
가슴,0,부표제어,명사,,
가슴,0,부표제어,명사,,
가슴,0,부표제어,명사,,
가슴,0,부표제어,명사,,
가슴,0,부표제어,명사,,
가슴,0,부표제어,명사,,
가슴,0,부표제어,명사,,
가슴,0,부표제어,명사,,
가슴,0,부표제어,명사,,
가슴,0,부표제어,명사,,
가슴,0,부표제어,명사,,
가슴,0,부표제어,명사,,
가슴,0,부표제어,명사,,
가슴,0,부표제어,명사,,
가슴,0,부표제어,명사,,
가슴,0,부표제어,명사,,
가슴,0,부표제어,명사,,
가슴둘레,0,단어,명사,고유어,
가슴살,0,단어,명사,고유어,
가슴속,0,단어,명사,고유어,
가슴앓이,0,단어,명사,고유어,
가슴앓이,0,단어,명사,고유어,
가슴팍,0,단어,명사,고유어,
가슴패기,0,단어,명사,고유어,
가습기,0,단어,명사,한자어,加濕器
가시,1,단어,명사,고유어,
가시,1,단어,명사,고유어,
가시,1,단어,명사,고유어,
가시,1,단어,명사,고유어,
가시,1,단어,명사,고유어,
가시,1,부표제어,명사,,
가시,1,부표제어,명사,,
가시,1,부표제어,명사,,
가시,2,단어,명사,한자어,可視
가시고기,0,단어,명사,고유어,
가시광선,0,단어,명사,한자어,可視光線
가시권,0,단어,명사,한자어,可視圈
가시다,0,단어,동사,고유어,
가시다,0,단어,동사,고유어,
가시덤불,0,단어,명사,고유어,
가시덤불,0,단어,명사,고유어,
가시방석,0,단어,명사,혼종어,가시方席
가시밭길,0,단어,명사,고유어,
가시밭길,0,단어,명사,고유어,
가시밭길,0,부표제어,명사,,
가시적,1,단어,명사,한자어,可視的
가시적,2,단어,관형사,한자어,可視的
가시화,0,단어,명사,한자어,可視化
가시화되다,0,단어,동사,혼종어,可視化되다
가시화하다,0,단어,동사,혼종어,可視化하다
가식,0,단어,명사,한자어,假飾
가식적,1,단어,명사,한자어,假飾的
가식적,2,단어,관형사,한자어,假飾的
가십,0,단어,명사,외래어,gossip
가십거리,0,단어,명사,혼종어,gossip거리
가야,0,단어,명사,한자어,伽倻/伽耶/加耶
가야금,0,단어,명사,한자어,伽倻琴
가업,0,단어,명사,한자어,家業
가없이,0,단어,부사,고유어,
가연성,0,단어,명사,한자어,可燃性
가열,0,단어,명사,한자어,加熱
가열,0,단어,명사,한자어,加熱
가열되다,0,단어,동사,혼종어,加熱되다
가열되다,0,단어,동사,혼종어,加熱되다
가열차다,0,단어,형용사,혼종어,苛烈차다
가열하다,1,단어,동사,혼종어,加熱하다
가열하다,1,단어,동사,혼종어,加熱하다
가열하다,2,단어,형용사,혼종어,苛烈하다
가엽다,0,단어,형용사,고유어,
가엾다,0,단어,형용사,고유어,
가엾이,0,단어,부사,고유어,
가오리,0,단어,명사,고유어,
가옥,0,단어,명사,한자어,家屋
가외,0,단어,명사,한자어,加外
가욋돈,0,단어,명사,혼종어,加外돈
가요,0,단어,명사,한자어,歌謠
가요계,0,단어,명사,한자어,歌謠界
가요제,0,단어,명사,한자어,歌謠祭
가용,0,단어,명사,한자어,可用
가운,1,단어,명사,한자어,家運
가운,2,단어,명사,외래어,gown
가운,2,단어,명사,외래어,gown
가운,2,단어,명사,외래어,gown
가운데,0,단어,명사,고유어,
가운데,0,단어,명사,고유어,
가운데,0,단어,명사,고유어,
가운데,0,단어,명사,고유어,
가운뎃손가락,0,단어,명사,고유어,
가위,1,단어,명사,고유어,
가위,1,단어,명사,고유어,
가위,2,단어,명사,고유어,
가위,3,단어,부사,한자어,可謂
가위눌리다,0,단어,동사,고유어,
가위바위보,0,단어,명사,혼종어,가위바위褓
가위질,0,단어,명사,고유어,
가위질,0,단어,명사,고유어,
가위질하다,0,단어,동사,고유어,
가위질하다,0,단어,동사,고유어,
가위표,0,단어,명사,고유어,
가을,0,단어,명사,고유어,
가을걷이,0,단어,명사,고유어,
가을걷이하다,0,단어,동사,고유어,
가을날,0,단어,명사,고유어,
가을맞이,0,단어,명사,고유어,
가을바람,0,단어,명사,고유어,
가을밤,0,단어,명사,고유어,
가을볕,0,단어,명사,고유어,
가을보리,0,단어,명사,고유어,
가을비,0,단어,명사,고유어,
가을철,0,단어,명사,고유어,
가이드,0,단어,명사,외래어,guide
가이드,0,단어,명사,외래어,guide
가이드라인,0,단어,명사,외래어,guide-line
가입,0,단어,명사,한자어,加入
가입국,0,단어,명사,한자어,加入國
가입되다,0,단어,동사,혼종어,加入되다
가입비,0,단어,명사,한자어,加入費
가입서,0,단어,명사,한자어,加入書
가입자,0,단어,명사,한자어,加入者
가입하다,0,단어,동사,혼종어,加入하다
가자미,0,단어,명사,고유어,
가작,0,단어,명사,한자어,佳作
가작,0,단어,명사,한자어,佳作
가장,1,단어,명사,한자어,家長
가장,2,단어,명사,한자어,假裝
가장,2,단어,명사,한자어,假裝
