표제어,동형어 번호,구분,품사,고유어 여부,원어
양상,0,단어,명사,한자어,樣相
양상추,0,단어,명사,혼종어,洋상추
양서,0,단어,명사,한자어,良書
양서류,0,단어,명사,한자어,兩棲類
양성,1,단어,명사,한자어,兩性
양성,1,단어,명사,한자어,兩性
양성,1,단어,명사,한자어,兩性
양성,1,단어,명사,한자어,兩性
양성,2,단어,명사,한자어,陽性
양성,2,단어,명사,한자어,陽性
양성,3,단어,명사,한자어,養成
양성,3,단어,명사,한자어,養成
양성,3,단어,명사,한자어,養成
양성되다,0,단어,동사,혼종어,養成되다
양성되다,0,단어,동사,혼종어,養成되다
양성되다,0,단어,동사,혼종어,養成되다
양성소,0,단어,명사,한자어,養成所
양성평등,0,단어,명사,한자어,兩性平等
양성하다,0,단어,동사,혼종어,養成하다
양성하다,0,단어,동사,혼종어,養成하다
양성하다,0,단어,동사,혼종어,養成하다
양손,0,단어,명사,혼종어,兩손
양송이,0,단어,명사,한자어,洋松栮
양송이버섯,0,단어,명사,혼종어,洋松耳버섯
양수,1,단어,명사,한자어,羊水
양수,2,단어,명사,한자어,揚水
양수,3,단어,명사,한자어,陽數
양수기,0,단어,명사,한자어,揚水機
양식,1,단어,명사,한자어,良識
양식,2,단어,명사,한자어,洋式
양식,3,단어,명사,한자어,洋食
양식,4,단어,명사,한자어,樣式
양식,4,단어,명사,한자어,樣式
양식,4,단어,명사,한자어,樣式
양식,5,단어,명사,한자어,養殖
양식,6,단어,명사,한자어,糧食
양식,6,단어,명사,한자어,糧食
양식하다,0,단어,동사,혼종어,養殖하다
양심,0,단어,명사,한자어,良心
양심,0,부표제어,명사,,
양심선언,0,단어,명사,한자어,良心宣言
양심수,0,단어,명사,한자어,良心囚
양심적,1,단어,명사,한자어,良心的
양심적,2,단어,관형사,한자어,良心的
양아들,0,단어,명사,혼종어,養아들
양아버지,0,단어,명사,혼종어,養아버지
양아치,0,단어,명사,고유어,
양악,0,단어,명사,한자어,兩顎
양약,0,단어,명사,한자어,洋藥
양어깨,0,단어,명사,혼종어,兩어깨
양어머니,0,단어,명사,혼종어,養어머니
양옆,0,단어,명사,혼종어,兩옆
양옥,0,단어,명사,한자어,洋屋
양옥집,0,단어,명사,혼종어,洋屋집
양육,0,단어,명사,한자어,養育
양육권,0,단어,명사,한자어,養育權
양육되다,0,단어,동사,혼종어,養育되다
양육비,0,단어,명사,한자어,養育費
양육하다,0,단어,동사,혼종어,養育하다
양은,0,단어,명사,한자어,洋銀
양일,0,단어,명사,한자어,兩日
양자,1,단어,명사,한자어,兩者
양자,2,단어,명사,한자어,養子
양자,2,부표제어,명사,,
양자,2,부표제어,명사,,
양자택일,0,단어,명사,한자어,兩者擇一
양잠,0,단어,명사,한자어,養蠶
양장,0,단어,명사,한자어,洋裝
양장,0,단어,명사,한자어,洋裝
양장피,0,단어,명사,한자어,兩張皮
양장하다,0,단어,동사,혼종어,洋裝하다
양장하다,0,단어,동사,혼종어,洋裝하다
양적,1,단어,명사,한자어,量的
양적,2,단어,관형사,한자어,量的
양조,0,단어,명사,한자어,釀造
양주,0,단어,명사,한자어,洋酒
양지,0,단어,명사,한자어,陽地
양지,0,단어,명사,한자어,陽地
양지,0,단어,명사,한자어,陽地
양지머리,0,단어,명사,고유어,
양지바르다,0,단어,형용사,혼종어,陽地바르다
양질,0,단어,명사,한자어,良質
양쪽,0,단어,명사,혼종어,兩쪽
양철,0,단어,명사,한자어,洋鐵
양초,0,단어,명사,혼종어,洋초
양측,0,단어,명사,한자어,兩側
양측,0,단어,명사,한자어,兩側
양치,0,단어,명사,고유어,
양치기,0,단어,명사,혼종어,羊치기
양치질,0,단어,명사,고유어,
양치질하다,0,단어,동사,고유어,
양치하다,0,단어,동사,고유어,
양친,0,단어,명사,한자어,兩親
양태,0,단어,명사,한자어,樣態
양털,0,단어,명사,혼종어,羊털
양파,0,단어,명사,혼종어,洋파
양편,0,단어,명사,한자어,兩便
양푼,0,단어,명사,고유어,
양하다,1,단어,보조 동사,고유어,
양하다,2,단어,보조 형용사,고유어,
양해,0,단어,명사,한자어,諒解
양해하다,0,단어,동사,혼종어,諒解하다
양호,0,단어,명사,한자어,養護
양호 교사,0,구,품사 없음,한자어,養護敎師
양호실,0,단어,명사,한자어,養護室
양호하다,0,단어,형용사,혼종어,良好하다
얕다,0,단어,형용사,고유어,
얕다,0,단어,형용사,고유어,
얕다,0,단어,형용사,고유어,
얕다,0,단어,형용사,고유어,
얕보다,0,단어,동사,고유어,
얕잡다,0,단어,동사,고유어,
얘,1,단어,명사,고유어,
얘,2,단어,감탄사,고유어,
얘,2,단어,감탄사,고유어,
얘,3,단어,품사 없음,고유어,
얘기,0,단어,명사,고유어,
얘기,0,단어,명사,고유어,
얘기,0,단어,명사,고유어,
얘기,0,단어,명사,고유어,
얘기꾼,0,단어,명사,고유어,
얘기되다,0,단어,동사,고유어,
얘기되다,0,단어,동사,고유어,
얘기되다,0,단어,동사,고유어,
얘기되다,0,단어,동사,고유어,
얘기하다,0,단어,동사,고유어,
얘기하다,0,단어,동사,고유어,
얘기하다,0,단어,동사,고유어,
얘기하다,0,단어,동사,고유어,
얘깃거리,0,단어,명사,고유어,
어-,0,단어,품사 없음,고유어,
어,1,단어,명사,고유어,
#NAME?,1,단어,어미,고유어,
#NAME?,1,단어,어미,고유어,
#NAME?,1,단어,어미,고유어,
#NAME?,1,단어,어미,고유어,
어,2,단어,감탄사,고유어,
어,2,단어,감탄사,고유어,
어,2,단어,감탄사,고유어,
어,2,단어,감탄사,고유어,
어,2,단어,감탄사,고유어,
어,2,단어,감탄사,고유어,
#NAME?,2,단어,접사,한자어,語
#NAME?,0,문법‧표현,품사 없음,고유어,
#NAME?,0,문법‧표현,품사 없음,고유어,
#NAME?,0,문법‧표현,품사 없음,고유어,
#NAME?,0,문법‧표현,품사 없음,고유어,
어간,0,단어,명사,한자어,語幹
어감,0,단어,명사,한자어,語感
#NAME?,0,문법‧표현,품사 없음,고유어,
#NAME?,0,문법‧표현,품사 없음,고유어,
어거지,0,단어,명사,고유어,
어겨-,0,단어,품사 없음,고유어,
#NAME?,0,문법‧표현,품사 없음,고유어,
어근,0,단어,명사,한자어,語根
어금니,0,단어,명사,고유어,
어금니,0,부표제어,명사,,
어긋나다,0,단어,동사,고유어,
어긋나다,0,단어,동사,고유어,
어긋나다,0,단어,동사,고유어,
어긋나다,0,단어,동사,고유어,
어기-,0,단어,품사 없음,고유어,
어기다,0,단어,동사,고유어,
어기적거리다,0,단어,동사,고유어,
어기적대다,0,단어,동사,고유어,
어기적어기적,0,단어,부사,고유어,
어기적어기적하다,0,단어,동사,고유어,
어김없다,0,단어,형용사,고유어,
어김없다,0,단어,형용사,고유어,
어김없이,0,단어,부사,고유어,
어김없이,0,단어,부사,고유어,
어깨,0,단어,명사,고유어,
어깨,0,단어,명사,고유어,
어깨,0,단어,명사,고유어,
어깨,0,부표제어,명사,,
어깨,0,부표제어,명사,,
어깨,0,부표제어,명사,,
어깨,0,부표제어,명사,,
어깨,0,부표제어,명사,,
어깨,0,부표제어,명사,,
어깨,0,부표제어,명사,,
어깨,0,부표제어,명사,,
어깨,0,부표제어,명사,,
어깨,0,부표제어,명사,,
어깨,0,부표제어,명사,,
어깨,0,부표제어,명사,,
어깨,0,부표제어,명사,,
어깨,0,부표제어,명사,,
어깨,0,부표제어,명사,,
어깨,0,부표제어,명사,,
어깨,0,부표제어,명사,,
어깨,0,부표제어,명사,,
어깨,0,부표제어,명사,,
어깨,0,부표제어,명사,,
어깨너머,0,단어,명사,고유어,
어깨동무,0,단어,명사,고유어,
어깨동무하다,0,단어,동사,고유어,
어깨춤,0,단어,명사,고유어,
#NAME?,0,문법‧표현,품사 없음,고유어,
#NAME?,0,문법‧표현,품사 없음,고유어,
#NAME?,0,문법‧표현,품사 없음,고유어,
#NAME?,0,문법‧표현,품사 없음,고유어,
어눌하다,0,단어,형용사,혼종어,語訥하다
어느,0,단어,관형사,고유어,
어느,0,단어,관형사,고유어,
어느,0,단어,관형사,고유어,
어느,0,단어,관형사,고유어,
어느,0,부표제어,관형사,,
어느,0,부표제어,관형사,,
어느,0,부표제어,관형사,,
어느,0,부표제어,관형사,,
어느,0,부표제어,관형사,,
어느,0,부표제어,관형사,,
어느,0,부표제어,관형사,,
어느,0,부표제어,관형사,,
어느,0,부표제어,관형사,,
어느,0,부표제어,관형사,,
어느덧,0,단어,부사,고유어,
어느새,0,단어,부사,고유어,
#NAME?,0,단어,어미,고유어,
#NAME?,0,단어,어미,고유어,
#NAME?,0,문법‧표현,품사 없음,고유어,
#NAME?,0,문법‧표현,품사 없음,고유어,
#NAME?,0,단어,어미,고유어,
#NAME?,0,문법‧표현,품사 없음,고유어,
어두,0,단어,명사,한자어,語頭
#NAME?,0,문법‧표현,품사 없음,고유어,
어두우-,0,단어,품사 없음,고유어,
어두운색,0,단어,명사,혼종어,어두운色
어두움,0,단어,명사,고유어,
어두워-,0,단어,품사 없음,고유어,
어두워져-,0,단어,품사 없음,고유어,
어두워지-,0,단어,품사 없음,고유어,
어두컴컴하다,0,단어,형용사,고유어,
어둑어둑,0,단어,부사,고유어,
어둑어둑하다,0,단어,형용사,고유어,
어둑하다,0,단어,형용사,고유어,
어둑하다,0,단어,형용사,고유어,
어둠,0,단어,명사,고유어,
어둠침침하다,0,단어,형용사,고유어,
어둡-,0,단어,품사 없음,고유어,
어둡다,0,단어,형용사,고유어,
어둡다,0,단어,형용사,고유어,
어둡다,0,단어,형용사,고유어,
어둡다,0,단어,형용사,고유어,
어둡다,0,단어,형용사,고유어,
어둡다,0,단어,형용사,고유어,
어둡다,0,단어,형용사,고유어,
어둡다,0,단어,형용사,고유어,
어둡다,0,단어,형용사,고유어,
어둡다,0,부표제어,형용사,,
#NAME?,0,문법‧표현,품사 없음,고유어,
어디,1,단어,대명사,고유어,
어디,1,단어,대명사,고유어,
어디,1,단어,대명사,고유어,
어디,1,단어,대명사,고유어,
어디,1,단어,대명사,고유어,
어디,1,단어,대명사,고유어,
어디,1,부표제어,대명사,,
어디,1,부표제어,대명사,,
어디,2,단어,감탄사,고유어,
어디,2,단어,감탄사,고유어,
어디,2,단어,감탄사,고유어,
어디,2,부표제어,감탄사,,
어때,0,단어,품사 없음,고유어,
어때-,0,단어,품사 없음,고유어,
어떠-,0,단어,품사 없음,고유어,
어떠어떠하다,0,단어,형용사,고유어,
어떠하다,0,단어,형용사,고유어,
어떡하다,0,단어,품사 없음,고유어,
어떤,0,단어,관형사,고유어,
어떤,0,단어,관형사,고유어,
어떤,0,단어,관형사,고유어,
어떤,0,단어,관형사,고유어,
어떻-,0,단어,품사 없음,고유어,
어떻다,0,단어,형용사,고유어,
#NAME?,0,단어,어미,고유어,
#NAME?,0,단어,어미,고유어,
어려-,1,단어,품사 없음,고유어,
어려-,2,단어,품사 없음,고유어,
어려우-,0,단어,품사 없음,고유어,
어려움,0,단어,명사,고유어,
어려워-,0,단어,품사 없음,고유어,
어려워져-,0,단어,품사 없음,고유어,
어려워지-,0,단어,품사 없음,고유어,
어려워하다,0,단어,동사,고유어,
어려워하다,0,단어,동사,고유어,
어련하다,0,단어,형용사,고유어,
어련히,0,단어,부사,고유어,
어렴풋이,0,단어,부사,고유어,
어렴풋이,0,단어,부사,고유어,
어렴풋이,0,단어,부사,고유어,
어렴풋이,0,단어,부사,고유어,
어렴풋이,0,단어,부사,고유어,
어렴풋하다,0,단어,형용사,고유어,
어렴풋하다,0,단어,형용사,고유어,
어렴풋하다,0,단어,형용사,고유어,
어렴풋하다,0,단어,형용사,고유어,
어렴풋하다,0,단어,형용사,고유어,
어렵-,0,단어,품사 없음,고유어,
어렵다,0,단어,형용사,고유어,
어렵다,0,단어,형용사,고유어,
어렵다,0,단어,형용사,고유어,
어렵다,0,단어,형용사,고유어,
어렵다,0,단어,형용사,고유어,
어렵다,0,단어,형용사,고유어,
어렵다,0,단어,형용사,고유어,
어렵다,0,부표제어,형용사,,
어렵다,0,부표제어,형용사,,
어렵사리,0,단어,부사,고유어,
어록,0,단어,명사,한자어,語錄
어뢰,0,단어,명사,한자어,魚雷
어루만지다,0,단어,동사,고유어,
어루만지다,0,단어,동사,고유어,
어루만지다,0,단어,동사,고유어,
어류,0,단어,명사,한자어,魚類
어르다,0,단어,동사,고유어,
어르다,0,단어,동사,고유어,
어르다,0,단어,동사,고유어,
어르다,0,부표제어,동사,,
어르신,0,단어,명사,고유어,
어르신,0,단어,명사,고유어,
어른,0,단어,명사,고유어,
어른,0,단어,명사,고유어,
어른,0,단어,명사,고유어,
어른,0,단어,명사,고유어,
어른,0,단어,명사,고유어,
어른,0,부표제어,명사,,
어른,0,부표제어,명사,,
어른거리다,0,단어,동사,고유어,
어른거리다,0,단어,동사,고유어,
어른거리다,0,단어,동사,고유어,
어른대다,0,단어,동사,고유어,
어른대다,0,단어,동사,고유어,
어른대다,0,단어,동사,고유어,
어른스럽다,0,단어,형용사,고유어,
어른스레,0,단어,부사,고유어,
어른어른,0,단어,부사,고유어,
어른어른,0,단어,부사,고유어,
어른어른,0,단어,부사,고유어,
어른어른하다,0,단어,동사,고유어,
어른어른하다,0,단어,동사,고유어,
어른어른하다,0,단어,동사,고유어,
어리-,1,단어,품사 없음,고유어,
어리-,2,단어,품사 없음,고유어,
어리광,0,단어,명사,고유어,
어리굴젓,0,단어,명사,고유어,
어리다,1,단어,동사,고유어,
어리다,1,단어,동사,고유어,
어리다,1,단어,동사,고유어,
어리다,1,단어,동사,고유어,
어리다,2,단어,형용사,고유어,
어리다,2,단어,형용사,고유어,
어리다,2,단어,형용사,고유어,
어리다,2,단어,형용사,고유어,
어리다,2,부표제어,형용사,,
어리둥절하다,0,단어,형용사,고유어,
어리바리,0,단어,부사,고유어,
어리바리하다,0,단어,형용사,고유어,
어리벙벙하다,0,단어,형용사,고유어,
어리석다,0,단어,형용사,고유어,
어린것,0,단어,명사,고유어,
어린것,0,단어,명사,고유어,
어린아이,0,단어,명사,고유어,
어린애,0,단어,명사,고유어,
어린이,0,단어,명사,고유어,
어린이날,0,단어,명사,고유어,
어린이집,0,단어,명사,고유어,
어림,0,단어,명사,고유어,
어림,0,부표제어,명사,,
어림없다,0,단어,형용사,고유어,
어림없다,0,단어,형용사,고유어,
어림없다,0,단어,형용사,고유어,
어림잡다,0,단어,동사,고유어,
어림짐작,0,단어,명사,혼종어,어림斟酌
어림짐작하다,0,단어,동사,혼종어,어림斟酌하다
어림하다,0,단어,동사,고유어,
어릿광대,0,단어,명사,고유어,
어릿광대,0,단어,명사,고유어,
어마어마하다,0,단어,형용사,고유어,
어마어마하다,0,단어,형용사,고유어,
어말 어미,0,구,품사 없음,한자어,語末語尾
어머,0,단어,감탄사,고유어,
어머나,0,단어,감탄사,고유어,
어머니,0,단어,명사,고유어,
어머니,0,단어,명사,고유어,
어머니,0,단어,명사,고유어,
어머니,0,단어,명사,고유어,
어머니,0,단어,명사,고유어,
어머니,0,단어,명사,고유어,
어머니,0,단어,명사,고유어,
어머니,0,부표제어,명사,,
어머님,0,단어,명사,고유어,
어머님,0,단어,명사,고유어,
어머님,0,단어,명사,고유어,
어머님,0,단어,명사,고유어,
어머님,0,단어,명사,고유어,
어머님,0,단어,명사,고유어,
어머머,0,단어,감탄사,고유어,
어멈,0,단어,명사,고유어,
어멈,0,단어,명사,고유어,
어멈,0,단어,명사,고유어,
어멈,0,단어,명사,고유어,
어명,0,단어,명사,한자어,御命
어묵,0,단어,명사,혼종어,魚묵
어문학,0,단어,명사,한자어,語文學
어물거리다,0,단어,동사,고유어,
어물거리다,0,단어,동사,고유어,
어물대다,0,단어,동사,고유어,
어물대다,0,단어,동사,고유어,
어물어물,0,단어,부사,고유어,
어물어물,0,단어,부사,고유어,
어물어물하다,0,단어,동사,고유어,
어물어물하다,0,단어,동사,고유어,
어물쩍,0,단어,부사,고유어,
어물쩍거리다,0,단어,동사,고유어,
어물쩍대다,0,단어,동사,고유어,
어물쩍어물쩍,0,단어,부사,고유어,
어물쩍어물쩍하다,0,단어,동사,고유어,
어물쩍이다,0,단어,동사,고유어,
어물쩍하다,0,단어,동사,고유어,
어미,1,단어,명사,고유어,
어미,1,단어,명사,고유어,
어미,1,단어,명사,고유어,
어미,1,단어,명사,고유어,
어미,1,단어,명사,고유어,
어미,1,단어,명사,고유어,
어미,2,단어,명사,한자어,語尾
어민,0,단어,명사,한자어,漁民
#NAME?,0,문법‧표현,품사 없음,고유어,
#NAME?,0,문법‧표현,품사 없음,고유어,
어버이,0,단어,명사,고유어,
어버이날,0,단어,명사,고유어,
어법,0,단어,명사,한자어,語法
어벙하다,0,단어,형용사,고유어,
#NAME?,0,문법‧표현,품사 없음,고유어,
#NAME?,0,문법‧표현,품사 없음,고유어,
#NAME?,0,문법‧표현,품사 없음,고유어,
#NAME?,0,문법‧표현,품사 없음,고유어,
어부,0,단어,명사,한자어,漁夫/漁父
어부지리,0,단어,명사,한자어,漁夫之利
어불성설,0,단어,명사,한자어,語不成說
#NAME?,0,문법‧표현,품사 없음,고유어,
어사,0,단어,명사,한자어,御史
어색하다,0,단어,형용사,혼종어,語塞하다
어색하다,0,단어,형용사,혼종어,語塞하다
어색하다,0,단어,형용사,혼종어,語塞하다
어서,0,단어,부사,고유어,
어서,0,단어,부사,고유어,
어서,0,단어,부사,고유어,
#NAME?,0,단어,어미,고유어,
#NAME?,0,단어,어미,고유어,
#NAME?,0,단어,어미,고유어,
#NAME?,0,문법‧표현,품사 없음,고유어,
#NAME?,0,단어,어미,고유어,
#NAME?,0,단어,어미,고유어,
#NAME?,0,단어,어미,고유어,
어서어서,0,단어,부사,고유어,
어서어서,0,단어,부사,고유어,
#NAME?,0,문법‧표현,품사 없음,고유어,
어선,0,단어,명사,한자어,漁船
어선단,0,단어,명사,한자어,漁船團
어설프다,0,단어,형용사,고유어,
어설프다,0,단어,형용사,고유어,
어설프다,0,단어,형용사,고유어,
어설프다,0,단어,형용사,고유어,
어설프다,0,단어,형용사,고유어,
어설피,0,단어,부사,고유어,
어설피,0,단어,부사,고유어,
어설피,0,단어,부사,고유어,
어설피,0,단어,부사,고유어,
어설피,0,단어,부사,고유어,
어수룩하다,0,단어,형용사,고유어,
어수룩하다,0,단어,형용사,고유어,
어수룩하다,0,단어,형용사,고유어,
어수선하다,0,단어,형용사,고유어,
어수선하다,0,단어,형용사,고유어,
어순,0,단어,명사,한자어,語順
어스름,0,단어,명사,고유어,
어스름하다,0,단어,형용사,고유어,
어슬렁거리다,0,단어,동사,고유어,
어슬렁대다,0,단어,동사,고유어,
어슬렁어슬렁,0,단어,부사,고유어,
어슬렁어슬렁하다,0,단어,동사,고유어,
어슬렁이다,0,단어,동사,고유어,
어슴푸레,0,단어,부사,고유어,
어슴푸레,0,단어,부사,고유어,
어슴푸레,0,단어,부사,고유어,
어슴푸레하다,0,단어,형용사,고유어,
어슴푸레하다,0,단어,형용사,고유어,
어슴푸레하다,0,단어,형용사,고유어,
어슷비슷하다,0,단어,형용사,고유어,
어슷비슷하다,0,단어,형용사,고유어,
어슷썰기,0,단어,명사,고유어,
어슷하다,0,단어,형용사,고유어,
어시장,0,단어,명사,한자어,魚市場
어안,0,단어,명사,고유어,
어안,0,부표제어,명사,,
어안,0,부표제어,명사,,
#NAME?,0,단어,어미,고유어,
#NAME?,0,단어,어미,고유어,
-어야겠-,0,문법‧표현,품사 없음,고유어,
#NAME?,0,문법‧표현,품사 없음,고유어,
#NAME?,0,단어,어미,고유어,
#NAME?,1,단어,어미,고유어,
#NAME?,2,단어,어미,고유어,
#NAME?,2,단어,어미,고유어,
#NAME?,2,단어,어미,고유어,
#NAME?,0,문법‧표현,품사 없음,고유어,
#NAME?,0,문법‧표현,품사 없음,고유어,
#NAME?,0,문법‧표현,품사 없음,고유어,
#NAME?,0,문법‧표현,품사 없음,고유어,
어어,0,단어,감탄사,고유어,
어어,0,단어,감탄사,고유어,
어업,0,단어,명사,한자어,漁業
어여쁘다,0,단어,형용사,고유어,
어여삐,0,단어,부사,고유어,
어엿이,0,단어,부사,고유어,
어엿하다,0,단어,형용사,고유어,
어영부영,0,단어,부사,고유어,
#NAME?,0,문법‧표현,품사 없음,고유어,
#NAME?,0,단어,어미,고유어,
어용,0,단어,명사,한자어,御用
어우러지다,0,단어,동사,고유어,
어우러지다,0,단어,동사,고유어,
어우러지다,0,단어,동사,고유어,
어울려-,0,단어,품사 없음,고유어,
어울리-,0,단어,품사 없음,고유어,
어울리다,0,단어,동사,고유어,
어울리다,0,단어,동사,고유어,
어울리다,0,단어,동사,고유어,
어울리다,0,단어,동사,고유어,
어원,0,단어,명사,한자어,語源/語原
어육,0,단어,명사,한자어,魚肉
어육,0,단어,명사,한자어,魚肉
어육,0,단어,명사,한자어,魚肉
어음,0,단어,명사,고유어,
어이,1,단어,명사,고유어,
어이,2,단어,부사,고유어,
어이구,0,단어,감탄사,고유어,
어이구,0,단어,감탄사,고유어,
어이구,0,단어,감탄사,고유어,
어이구머니,0,단어,감탄사,고유어,
어이없다,0,단어,형용사,고유어,
어이없이,0,단어,부사,고유어,
어이쿠,0,단어,감탄사,고유어,
어이쿠,0,단어,감탄사,고유어,
어이쿠,0,단어,감탄사,고유어,
#NAME?,0,문법‧표현,품사 없음,고유어,
어장,0,단어,명사,한자어,漁場
어장,0,단어,명사,한자어,漁場
어장,0,부표제어,명사,,
어저께,1,단어,명사,고유어,
어저께,2,단어,부사,고유어,
어절,0,단어,명사,한자어,語節
어정쩡,0,단어,부사,고유어,
어정쩡,0,단어,부사,고유어,
어정쩡,0,단어,부사,고유어,
어정쩡하다,0,단어,형용사,고유어,
어정쩡하다,0,단어,형용사,고유어,
어정쩡하다,0,단어,형용사,고유어,
어제,1,단어,명사,고유어,
어제,1,단어,명사,고유어,
어제,1,부표제어,명사,,
어제,1,부표제어,명사,,
어제,1,부표제어,명사,,
어제,1,부표제어,명사,,
어제,2,단어,부사,고유어,
어제저녁,0,단어,명사,고유어,
어젯밤,0,단어,명사,고유어,
어조,0,단어,명사,한자어,語調
어조,0,단어,명사,한자어,語調
어족,1,단어,명사,한자어,魚族
어족,2,단어,명사,한자어,語族
어종,0,단어,명사,한자어,魚種
#NAME?,0,문법‧표현,품사 없음,고유어,
#NAME?,0,문법‧표현,품사 없음,고유어,
어줍다,0,단어,형용사,고유어,
어줍다,0,단어,형용사,고유어,
어줍다,0,단어,형용사,고유어,
어줍잖다,0,단어,형용사,고유어,
어중간하다,0,단어,형용사,혼종어,於中間하다
어중간하다,0,단어,형용사,혼종어,於中間하다
어중간하다,0,단어,형용사,혼종어,於中間하다
어중간하다,0,단어,형용사,혼종어,於中間하다
어중이떠중이,0,단어,명사,고유어,
어지간하다,0,단어,형용사,고유어,
어지간하다,0,단어,형용사,고유어,
어지간하다,0,단어,형용사,고유어,
어지간하다,0,단어,형용사,고유어,
어지간히,0,단어,부사,고유어,
어지간히,0,단어,부사,고유어,
어지간히,0,단어,부사,고유어,
어지간히,0,단어,부사,고유어,
#NAME?,0,문법‧표현,품사 없음,고유어,
#NAME?,0,문법‧표현,품사 없음,고유어,
#NAME?,0,문법‧표현,품사 없음,고유어,
어지러우-,0,단어,품사 없음,고유어,
어지러워-,0,단어,품사 없음,고유어,
어지러이,0,단어,부사,고유어,
어지러이,0,단어,부사,고유어,
어지러이,0,단어,부사,고유어,
어지러이,0,단어,부사,고유어,
어지럼증,0,단어,명사,혼종어,어지럼症
어지럽-,0,단어,품사 없음,고유어,
어지럽다,0,단어,형용사,고유어,
어지럽다,0,단어,형용사,고유어,
어지럽다,0,단어,형용사,고유어,
어지럽다,0,단어,형용사,고유어,
어지럽다,0,단어,형용사,고유어,
어지럽히다,0,단어,동사,고유어,
어지럽히다,0,단어,동사,고유어,
어지럽히다,0,단어,동사,고유어,
어지럽히다,0,단어,동사,고유어,
어지르다,0,단어,동사,고유어,
어질다,0,단어,형용사,고유어,
어질어질,0,단어,부사,고유어,
어질어질하다,0,단어,형용사,고유어,
어째,0,단어,품사 없음,고유어,
어째-,0,단어,품사 없음,고유어,
어째서,0,단어,품사 없음,고유어,
어쨌건,1,단어,부사,고유어,
어쨌건,2,단어,품사 없음,고유어,
어쨌든,1,단어,부사,고유어,
어쨌든,2,단어,품사 없음,고유어,
어쨌든지,1,단어,부사,고유어,
어쨌든지,2,단어,품사 없음,고유어,
어쩌-,0,단어,품사 없음,고유어,
어쩌고저쩌고,0,단어,부사,고유어,
어쩌고저쩌고하다,0,단어,동사,고유어,
어쩌다,1,단어,동사,고유어,
어쩌다,1,단어,동사,고유어,
어쩌다,1,부표제어,동사,,
어쩌다,1,부표제어,동사,,
어쩌다,2,단어,부사,고유어,
어쩌다,2,단어,부사,고유어,
어쩌다,3,단어,품사 없음,고유어,
어쩌다가,1,단어,부사,고유어,
어쩌다가,1,단어,부사,고유어,
어쩌다가,2,단어,품사 없음,고유어,
어쩌면,1,단어,부사,고유어,
어쩌면,1,단어,부사,고유어,
어쩌면,2,단어,감탄사,고유어,
어쩌면,3,단어,품사 없음,고유어,
어쩐지,0,단어,부사,고유어,
어쩜,1,단어,부사,고유어,
어쩜,1,단어,부사,고유어,
어쩜,2,단어,감탄사,고유어,
어쭙잖다,0,단어,형용사,고유어,
어쭙잖다,0,단어,형용사,고유어,
어찌,0,단어,부사,고유어,
어찌,0,단어,부사,고유어,
어찌,0,단어,부사,고유어,
어찌,0,단어,부사,고유어,
어찌나,0,단어,부사,고유어,
어찌어찌,0,단어,부사,고유어,
어찌어찌하다,0,단어,동사,고유어,
어찌하다,0,단어,동사,고유어,
어찌하다,0,단어,동사,고유어,
어찔하다,0,단어,형용사,고유어,
어차피,0,단어,부사,한자어,於此彼
어처구니,0,단어,명사,고유어,
어처구니없다,0,단어,형용사,고유어,
